"entity_ID" "nfix" "nfixno" "geo_entity" "entity_class" "longitude" "latitude" "area" "area_ratio" "extent_ratio" "no_polygons" "dist" "botanical_continent" "biome" "geology" "age_Ma" "native_proc" "naturalized_proc" "CHELSA_annual_mean_Temp" "CHELSA_annual_Prec" "GDP" "Popdensity" "HI" "HF" "elev_range"
"15" 145 33 1 "El Hierro" "Island" -18.006624 27.746526 273.523575 1 1 1 383.073 "AFRICA" "Mediterranean Forests, Woodlands & Scrub" "dev" 1.1 314 357 17.67989 196.22346 0.94906 39.65456 41.43252 26.41092 1381
"16" 146 34 2 "La Palma" "Island" -17.858329 28.68988 716.459265 1 1 1 416.923 "AFRICA" "Mediterranean Forests, Woodlands & Scrub" "dev" 1.7 382 480 15.71729 395.86233 1.31534 118.61195 43.66104 28.04589 2310
"17" 147 37 1 "La Gomera" "Island" -17.232609 28.117411 372.206221 1 1 1 335.136 "AFRICA" "Mediterranean Forests, Woodlands & Scrub" "dev" 12 396 469 17.76558 302.68635 1.04435 58.85057 39.61687 25.2963 1375
"18" 148 50 2 "Tenerife" "Island" -16.55631 28.291062 2040.135344 1 1 1 288.476 "AFRICA" "Mediterranean Forests, Woodlands & Scrub" "dev" 8 584 826 15.62921 389.02039 5.81894 431.48227 54.34285 34.85837 3470
"19" 149 49 3 "Gran Canaria" "Island" -15.593194 27.954821 1571.354319 1 1 1 196.361 "AFRICA" "Mediterranean Forests, Woodlands & Scrub" "dev" 14.5 498 763 17.6627 198.11598 9.14712 541.62845 51.82425 33.08467 1863
"20" 150 37 2 "Fuerteventura" "Island" -14.036486 28.406106 1669.884763 1 1 1 96.535 "AFRICA" "Mediterranean Forests, Woodlands & Scrub" "dev" 20 337 404 19.4456 120.48866 1.85993 61.83648 39.37567 25.13113 621
"21" 151 33 2 "Lanzarote" "Island" -13.641825 29.024478 818.571266 1 1 1 126.425 "AFRICA" "Mediterranean Forests, Woodlands & Scrub" "dev" 16 312 380 19.24986 138.1107 4.11857 169.11037 52.43944 33.35206 616
"22" 155 9 2 "Española" "Island" -89.678704 -1.378399 64.114232 1 1 1 961.519 "SOUTHERN AMERICA" "Deserts & Xeric Shrublands" "dev" 3.31 104 25 23.07907 864.31395 0.00162 0.60248 NA NA 174
"23" 156 10 1 "Fernandina" "Island" -91.512937 -0.385734 649.105928 1 1 1 1167.044 "SOUTHERN AMERICA" "Deserts & Xeric Shrublands" "dev" 0.7 145 24 21.59128 803.78203 7e-05 0.03622 NA NA 1427
"24" 157 14 3 "Floreana" "Island" -90.435291 -1.293603 178.028984 1 1 1 1044.002 "SOUTHERN AMERICA" "Deserts & Xeric Shrublands" "dev" 1 211 150 22.47837 889.54808 0.00101 0.60248 NA NA 402
"25" 159 17 3 "Isabela" "Island" -91.184344 -0.559293 4726.573482 1 1 1 1098.298 "SOUTHERN AMERICA" "Deserts & Xeric Shrublands" "dev" 0.7 279 200 21.6529 798.92386 0.00578 0.45339 NA NA 1633
"26" 161 12 1 "Pinta" "Island" -90.757025 0.586845 60.330784 1 1 1 1105.929 "SOUTHERN AMERICA" "Deserts & Xeric Shrublands" "dev" 0.7 140 23 23.20215 1055.89247 0.0012 1.79409 NA NA 559
"27" 162 10 2 "Pinzón" "Island" -90.665791 -0.610811 18.069175 1 1 1 1084.075 "SOUTHERN AMERICA" "Deserts & Xeric Shrublands" "dev" 1.1 107 10 22.71613 841.70968 0.00103 1.79409 NA NA 388
"28" 163 20 4 "San Cristóbal" "Island" -89.43056 -0.826798 559.977664 1 1 1 927.687 "SOUTHERN AMERICA" "Deserts & Xeric Shrublands" "dev" 2.35 237 225 22.70765 905.32722 0.08499 15.4122 NA NA 644
"29" 164 20 4 "Santa Cruz, Galapagos" "Island" -90.358406 -0.627248 987.094158 1 1 1 1031.632 "SOUTHERN AMERICA" "Deserts & Xeric Shrublands" "dev" 1.1 314 274 22.50891 821.12457 0.10561 18.42571 NA NA 787
"30" 165 8 1 "Santa Fé" "Island" -90.058774 -0.818429 25.151602 1 1 1 1014.28 "SOUTHERN AMERICA" "Deserts & Xeric Shrublands" "dev" 3.9 72 9 23.04651 865.51163 0.0011 0.60248 NA NA 190
"31" 166 18 2 "Santiago, Galapagos" "Island" -90.712546 -0.266245 577.099751 1 1 1 1075.448 "SOUTHERN AMERICA" "Deserts & Xeric Shrublands" "dev" 0.7 233 69 22.5064 845.80804 0.00058 2.48918 NA NA 865
"32" 171 15 2 "Hawai'i Island" "Island" -155.518375 19.598084 10457.216211 1 1 1 3674.689 "PACIFIC" "Tropical & Subtropical Dry Broadleaf Forests" "dev" 0.53 391 911 17.5401 1797.42522 0.69612 19.65972 22.09242 14.46853 4119
"33" 172 15 2 "Kaua'i Island" "Island" -159.524241 22.058363 1442.951503 1 1 1 3629.559 "PACIFIC" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 5.77 494 694 22.0324 2184.22992 2.2161 49.80694 39.19787 25.33626 1485
"34" 173 5 1 "Kaho'olawe Island" "Island" -156.609341 20.547612 116.658525 1 1 1 3736.853 "PACIFIC" "Tropical & Subtropical Grasslands, Savannas & Shrublands" "dev" 1.25 62 165 23.78099 547.9507 2e-05 0 NA 13.78333 432
"35" 176 10 1 "Lana'i Island" "Island" -156.927066 20.834995 366.604164 1 1 1 3740.263 "PACIFIC" "Tropical & Subtropical Grasslands, Savannas & Shrublands" "dev" 1.5 257 392 22.90217 696.42609 0.74893 9.26638 33.79854 21.76399 964
"36" 180 15 2 "Maui Island" "Island" -156.336777 20.790415 1894.105903 1 1 1 3678.732 "PACIFIC" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 2.15 497 873 20.62574 1487.02113 3.13661 82.59537 39.47477 25.38011 2968
"37" 183 11 2 "Moloka'i Island" "Island" -157.014518 21.133173 680.421602 1 1 1 3709.532 "PACIFIC" "Tropical & Subtropical Dry Broadleaf Forests" "dev" 1.99 375 513 22.75842 834.57244 0.60182 11.56095 33.24212 21.3973 1353
"38" 186 4 2 "Ni'ihau Island" "Island" -160.151831 21.896643 197.312532 1 1 1 3650.298 "PACIFIC" "Tropical & Subtropical Dry Broadleaf Forests" "dev" 5.92 94 148 24.07339 1243.33871 3e-05 1.02864 16.61622 10.8 336
"39" 187 14 2 "O'ahu Island (incl. Mokoli'i Islet)" "Island" -157.973393 21.458674 1560.184472 1 1 1 3699.816 "PACIFIC" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 3.39 460 906 23.2599 1125.77391 23.63458 640.4557 61.82063 39.98317 1159
"40" 200 35 1 "Ireland" "Island" -7.895663 53.426558 84037.844865 1 1 1 412.73 "EUROPE" "Temperate Broadleaf & Mixed Forests" "nondev" NA 885 NA 9.76541 1187.38213 1.92234 79.53846 34.96193 22.62982 874
"41" 201 55 3 "Kangaroo Island" "Island" 137.240283 -35.827998 4417.68103 1 1 1 13.113 "AUSTRALASIA" "Mediterranean Forests, Woodlands & Scrub" "nondev" NA 853 280 14.84732 617.54162 0.00823 1.07479 18.82515 12.2543 307
"42" 202 35 4 "La Réunion" "Island" 55.532685 -21.133348 2512.652312 1 1 1 1664.739 "AFRICA" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 3 939 660 19.31814 2647.24684 0 340.00966 39.82716 25.95064 2932
"43" 204 5 2 "Fatu Hiva" "Island" -138.639836 -10.471635 95.287835 1 1 1 4828.162 "PACIFIC" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 1 131 154 26.7 1610.89216 0 6.81575 NA 0 0
"44" 207 6 2 "Hiva Oa" "Island" -139.013922 -9.774777 319.393502 1 1 1 4783.626 "PACIFIC" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 2.22 155 201 24.55618 2007.58333 0.15659 6.11663 9.09668 6.04683 1107
"45" 211 9 2 "Nuku Hiva" "Island" -140.139323 -8.866239 346.619429 1 1 1 4789.953 "PACIFIC" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 4.1 175 228 24.45012 1621.29829 0.27494 6.22625 9.87004 7.05112 1089
"46" 212 4 2 "Tahuata" "Island" -139.088564 -9.944988 71.906803 1 1 1 4815.018 "PACIFIC" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 2.32 115 109 25.63305 2119.81356 0.15422 8.90748 NA 7.39286 740
"47" 213 6 2 "Ua Huka" "Island" -139.551964 -8.909323 91.63114 1 1 1 4762.984 "PACIFIC" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 3.11 113 164 25.61077 1388.84615 0 5.79153 NA 6.85859 778
"48" 215 33 2 "New Zealand" "Island" 172.597055 -41.790125 266531.003639 0.564948316031355 0.566184732930334 3 1649.493 "AUSTRALASIA" "Temperate Broadleaf & Mixed Forests" "nondev" NA 1953 NA 10.07944 1556.28168 0.30117 17.33413 20.59934 13.17024 3089
"49" 216 1 2 "Pitcairn" "Island" -130.106263 -25.069647 4.917533 1 1 1 5339.859 "PACIFIC" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 0.87 60 26 22.2 1824.57143 0 2.86584 NA NA 205
"50" 217 4 2 "Henderson" "Island" -128.322888 -24.376726 44.552778 1 1 1 5252.133 "PACIFIC" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 16 61 4 22.82115 1653.03846 0 2.86584 2.51351 1.67442 32
"51" 232 8 1 "Ioujima" "Island" 130.294169 30.790435 12.239166 1 1 1 472.386 "ASIA-TEMPERATE" "Tropical & Subtropical Moist Broadleaf Forests" "nondev" NA 155 NA 19.61613 3122.29032 0.00352 12.01836 NA 15 417
"52" 233 15 1 "Kuroshima" "Island" 129.934198 30.830824 16.286187 1 1 1 455.962 "ASIA-TEMPERATE" "Temperate Broadleaf & Mixed Forests" "nondev" NA 422 NA 19.14857 3069.05714 0.00571 12.01836 NA 16.95238 512
"53" 234 27 2 "Tanegashima" "Island" 130.975089 30.580814 448.996527 1 1 1 499.74 "ASIA-TEMPERATE" "Tropical & Subtropical Moist Broadleaf Forests" "nondev" NA 819 NA 19.91162 3311.01964 1.0192 66.36535 47.27573 30.20034 255
"54" 235 30 3 "Yakushima" "Island" 130.522252 30.339135 508.037635 1 1 1 514.014 "ASIA-TEMPERATE" "Tropical & Subtropical Moist Broadleaf Forests" "nondev" NA 996 NA 17.06389 4320.76754 0.27423 23.83102 33.1 21.74169 1785
"55" 236 15 1 "Kuchinoerabujima" "Island" 130.209712 30.455885 37.135804 1 1 1 500.414 "ASIA-TEMPERATE" "Tropical & Subtropical Moist Broadleaf Forests" "nondev" NA 311 NA 19.80132 3781.56579 0.01868 23.83102 NA 16.54167 537
"56" 237 10 1 "Kuchinoshima" "Island" 129.922578 29.972314 14.325372 1 1 1 545.412 "ASIA-TEMPERATE" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 0.4 333 NA 20.35455 4169.06061 0.00182 5.80782 NA 16.23529 391
"57" 238 18 1 "Nakanoshima" "Island" 129.871098 29.848849 35.686935 1 1 1 557.249 "ASIA-TEMPERATE" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 0.48 486 NA 20.02462 4235.41538 0.00175 5.80782 NA 16.73469 724
"58" 240 10 1 "Tairajima" "Island" 129.533032 29.687286 2.544134 1 1 1 565.649 "ASIA-TEMPERATE" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 0.3 238 NA 20.91429 3746.71429 0.00049 5.80782 NA 6.66667 96
"59" 241 5 1 "Suwanosejima" "Island" 129.712841 29.641179 29.816037 1 1 1 574.931 "ASIA-TEMPERATE" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 0.1 265 NA 20.3 4104.33333 0.00128 5.80782 NA 16.34286 646
"60" 242 9 1 "Akusekijima" "Island" 129.602299 29.459413 8.005161 1 1 1 590.693 "ASIA-TEMPERATE" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 0.1 314 NA 20.71176 4018.41176 0.00173 5.80782 NA 12 332
"61" 243 3 1 "Kodakarajima" "Island" 129.325522 29.223776 1.087171 1 1 1 608.044 "ASIA-TEMPERATE" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 0.9 150 NA 21.425 3357.25 0.00026 5.80782 NA 20 12
"62" 244 15 2 "Takarajima" "Island" 129.207673 29.146641 7.405603 1 1 1 611.772 "ASIA-TEMPERATE" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 0.9 407 NA 21.36842 3442.15789 0.00406 5.80782 NA 12.66667 138
"63" 246 32 2 "Amamioshima" "Island" 129.426562 28.311807 722.952607 1 1 1 692.601 "ASIA-TEMPERATE" "Tropical & Subtropical Moist Broadleaf Forests" "nondev" NA 848 NA 21.17143 3095.63866 1.34618 80.89631 39.40053 25.41752 601
"64" 247 22 2 "Kikaijima" "Island" 129.97242 28.323027 59.494672 1 1 1 718.997 "ASIA-TEMPERATE" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 0.9 441 NA 21.97909 3057.29091 1.57563 131.21794 NA 35.4 184
"65" 248 31 3 "Tokunoshima" "Island" 128.948928 27.773461 253.091809 1 1 1 691.269 "ASIA-TEMPERATE" "Tropical & Subtropical Moist Broadleaf Forests" "nondev" NA 663 NA 21.66886 2565.52695 1.68911 96.73369 47.28295 NA 535
"66" 249 30 3 "Okinoerabujima" "Island" 128.597494 27.380304 94.976395 1 1 1 672.509 "ASIA-TEMPERATE" "Tropical & Subtropical Moist Broadleaf Forests" "nondev" NA 561 NA 22.29639 2280.18072 2.36452 141.02949 NA 36.27049 221
"67" 250 23 2 "Yoronjima" "Island" 128.430591 27.042778 20.889774 1 1 1 674.429 "ASIA-TEMPERATE" "Tropical & Subtropical Moist Broadleaf Forests" "nondev" NA 354 NA 22.72727 2103.47727 2.04876 243.09988 NA 33.66667 72
"68" 251 42 3 "Okinawajima" "Island" 127.959792 26.493709 1233.909736 1 1 1 633.742 "ASIA-TEMPERATE" "Tropical & Subtropical Moist Broadleaf Forests" "nondev" NA 992 NA 22.63701 2245.54227 26.16049 1002.7645 58.45156 37.86542 414
"69" 252 29 3 "Kumejima" "Island" 126.773293 26.349982 60.606054 1 1 1 544.303 "ASIA-TEMPERATE" "Tropical & Subtropical Moist Broadleaf Forests" "nondev" NA 589 NA 22.88738 2327.92233 2.6707 128.59679 NA 37.64103 233
"70" 253 40 3 "Miyakojima" "Island" 125.332376 24.774041 164.785947 1 1 1 518.486 "ASIA-TEMPERATE" "Tropical & Subtropical Moist Broadleaf Forests" "nondev" NA 547 NA 23.88785 2224.1215 5.82634 246.10127 68.63636 42.50811 85
"71" 254 56 4 "Ishigakijima" "Island" 124.205545 24.433381 229.982513 1 1 1 457.599 "ASIA-TEMPERATE" "Tropical & Subtropical Moist Broadleaf Forests" "nondev" NA 864 NA 23.80925 2320.40068 3.43868 200.7972 54.74874 33.19853 414
"72" 255 51 4 "Iriomotejima" "Island" 123.814688 24.335813 291.459834 1 1 1 421.329 "ASIA-TEMPERATE" "Tropical & Subtropical Moist Broadleaf Forests" "nondev" NA 871 NA 23.30936 2498.58021 0.10105 11.4237 31.85859 20.61494 399
"73" 256 29 2 "Yonagunijima" "Island" 122.988732 24.455253 29.883966 1 1 1 346.155 "ASIA-TEMPERATE" "Tropical & Subtropical Moist Broadleaf Forests" "nondev" NA 583 NA 23.6 2703.31373 0.38918 55.65782 NA 13.44444 122
"74" 277 16 3 "Aldabra" "Island" 46.368814 -9.425483 164.227088 0.730052900895375 0.977166840826035 19 626.196 "AFRICA" "Deserts & Xeric Shrublands" "dev" 0.08 239 NA 26.5399 1089.17098 0.00022 3.68886 NA NA 7
"75" 278 6 3 "Assumption" "Island" 46.511512 -9.730865 12.077091 1 1 1 649.418 "AFRICA" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 65 131 NA 26.55652 1105.47826 0.00037 3.68886 NA NA 10
"76" 279 5 3 "Cosmoledo" "Island" 47.573175 -9.726323 6.273316 0.455075752600379 0.186553938534673 12 759.776 "AFRICA" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 0.08 123 NA 26.5 1039.08333 4e-05 3.68886 NA NA 10
"77" 280 5 3 "Astove" "Island" 47.741723 -10.086604 10.95707 0.994219896377407 1 2 778.004 "AFRICA" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 0.08 128 NA 26.5 1041.66667 8e-05 3.68886 NA NA 8
"78" 289 4 1 "Coetivy" "Island" 56.279994 -7.129637 9.98386 1 1 1 1550.8 "AFRICA" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 0.127 71 NA 26.70385 2339.65385 0.48088 3.68886 NA NA 15
"79" 290 3 1 "Darros" "Island" 53.298464 -5.415731 1.755549 1 1 1 1186.417 "AFRICA" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 0.127 71 NA 26.8 2137.25 0 3.68886 NA NA 8
"80" 293 14 3 "Anegada" "Island" -64.337381 18.726917 40.242908 1 1 1 884.343 "SOUTHERN AMERICA" "Deserts & Xeric Shrublands" "nondev" NA 185 NA 26.80959 1165.05479 0.20724 11.82275 NA 9 8
"81" 294 14 5 "Anguilla" "Island" -63.054398 18.214736 74.928018 1 1 1 819.509 "SOUTHERN AMERICA" "Deserts & Xeric Shrublands" "dev" 14.18 250 NA 26.73482 1121.38393 0.25257 177.58585 60.74603 38.15873 51
"82" 295 45 8 "Antigua" "Island" -61.798388 17.077293 280.170367 1 1 1 691.405 "SOUTHERN AMERICA" "Deserts & Xeric Shrublands" "dev" 28.5 611 NA 26.5436 1222.35465 4.22435 315.67349 63.17808 40.88372 280
"83" 296 71 12 "Bahama Archipelago" "Island" -76.644108 24.259786 13377.822475 0.281516755887434 0.148660333715303 1237 82.75 "SOUTHERN AMERICA" "Tropical & Subtropical Coniferous Forests" "dev" 200 1078 NA 25.63276 1073.58464 0.49521 30.59259 19.45805 12.60772 47
"84" 297 43 10 "Barbados" "Island" -59.55639 13.172262 434.639683 1 1 1 355.48 "SOUTHERN AMERICA" "Deserts & Xeric Shrublands" "dev" 1.2 511 NA 26.36534 1549.53409 10.54904 655.55997 74.99578 47.55534 312
"85" 298 10 4 "Barbuda" "Island" -61.793378 17.631531 144.414311 1 1 1 751.818 "SOUTHERN AMERICA" "Deserts & Xeric Shrublands" "dev" 2.65 190 NA 26.68146 1125.88764 0.2498 12.33062 19.65333 13.03356 39
"86" 299 12 1 "Beata" "Island" -71.516024 17.575458 41.881308 1 1 1 562.539 "SOUTHERN AMERICA" "Tropical & Subtropical Dry Broadleaf Forests" "nondev" NA 173 NA 26.94714 1092.14286 0.00101 6.60232 NA 17.38776 77
"87" 302 13 2 "Cayo Santiago" "Island" -65.732611 18.156648 0.233221 1 1 1 800.765 "SOUTHERN AMERICA" "Mangroves" "nondev" NA 121 NA 26.9 1915 0 109.97147 NA NA 0
"88" 303 283 32 "Cuba" "Island" -79.029797 21.625477 110730.908278 0.965414794165823 0.987198699771612 1370 197.348 "SOUTHERN AMERICA" "Tropical & Subtropical Dry Broadleaf Forests" "nondev" NA 5505 NA 25.14551 1322.21798 0.89602 103.77106 42.19574 27.134 1734
"89" 304 18 2 "Culebra" "Island" -65.289418 18.315046 28.508922 1 1 1 839.645 "SOUTHERN AMERICA" "Tropical & Subtropical Dry Broadleaf Forests" "nondev" NA 203 NA 26.78125 1212.03125 0.9033 49.15647 NA 31.57576 104
"90" 307 47 8 "Dominica" "Island" -61.349988 15.434552 754.214181 1 1 1 496.176 "SOUTHERN AMERICA" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 2.6 897 NA 24.867 2255.31333 0.37363 96.22286 37.2117 23.96497 1277
"91" 308 49 7 "Gonave" "Island" -73.046362 18.842899 686.552104 1 1 1 700.926 "SOUTHERN AMERICA" "Tropical & Subtropical Dry Broadleaf Forests" "nondev" NA 699 NA 26.10331 1352.12071 0.05888 218.52639 31.30475 20.16352 747
"92" 310 47 10 "Grenada" "Island" -61.683776 12.113748 316.62446 1 1 1 137.403 "SOUTHERN AMERICA" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 11.5 654 NA 25.97905 1924.62334 1.74027 314.25885 43.67347 27.80822 649
"93" 311 70 12 "Guadeloupe" "Island" -61.575939 16.228266 1450.485728 1 1 1 575.258 "SOUTHERN AMERICA" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 2.65 1126 NA 25.75407 1618.39442 0 273.81352 54.63558 35.04568 1333
"94" 312 23 4 "Guana Island" "Island" -64.570619 18.476401 3.530632 1 1 1 861.97 "SOUTHERN AMERICA" "Deserts & Xeric Shrublands" "dev" NA 260 NA 26.85 1192 0.20275 336.79947 78 28.25 51
"95" 315 118 11 "Jamaica" "Island" -77.310484 18.157071 10992.97895 1 1 1 622.567 "SOUTHERN AMERICA" "Tropical & Subtropical Moist Broadleaf Forests" "nondev" 40 2530 NA 25.25998 1731.49656 1.84659 252.17541 45.16721 29.26552 2083
"96" 316 6 1 "Jost van Dyke" "Island" -64.746853 18.446506 9.205924 1 1 1 860.679 "SOUTHERN AMERICA" "Deserts & Xeric Shrublands" "dev" NA 69 NA 26.79545 1173.31818 0.32449 28.16622 NA 20.66667 205
"97" 318 18 3 "Maria Galante" "Island" -61.268569 15.932114 159.860409 1 1 1 569.689 "SOUTHERN AMERICA" "Deserts & Xeric Shrublands" "dev" 2.65 252 NA 26.38705 1671.21762 0 70.65976 44.17178 28.1686 168
"98" 319 72 12 "Martinique" "Island" -61.018115 14.652747 1114.856317 1 1 1 417.453 "SOUTHERN AMERICA" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 16 1113 NA 25.88932 2458.39283 0 353.29265 63.36776 40.13608 1210
"99" 320 20 3 "Mona" "Island" -67.892539 18.089245 57.671347 1 1 1 686.174 "SOUTHERN AMERICA" "Tropical & Subtropical Dry Broadleaf Forests" "dev" 12.5 331 NA 26.85165 1106.28571 0 0.111 NA 14 84
"100" 322 30 7 "Monserrat, Lesser Antilles" "Island" -62.189685 16.739452 100.645737 1 1 1 656.186 "SOUTHERN AMERICA" "Tropical & Subtropical Dry Broadleaf Forests" "dev" 1.25 533 NA 25.64488 1452.66929 0.02334 51.53801 41.22124 26.3913 767
"101" 323 5 1 "Navassa" "Island" -75.013618 18.403235 5.172647 1 1 1 746.825 "SOUTHERN AMERICA" "Mangroves" "dev" 5 95 NA 27.58182 1507.18182 0 NA NA NA 72
"102" 327 36 6 "Saba" "Island" -63.237528 17.631469 14.353305 1 1 1 759.705 "SOUTHERN AMERICA" "Deserts & Xeric Shrublands" "dev" 1.2 506 NA 26.17692 1153.15385 0.51916 139.51103 NA 14.9375 645
"103" 329 21 5 "St. Barthelemy" "Island" -62.829698 17.901978 21.904476 1 1 1 786.911 "SOUTHERN AMERICA" "Mangroves" "dev" 45 310 NA 26.68936 1114.42553 0 422.88251 NA 36.54545 126
"104" 330 47 6 "St. Croix" "Island" -64.768456 17.73286 219.681368 1 1 1 778.369 "SOUTHERN AMERICA" "Deserts & Xeric Shrublands" "dev" 1.2 608 NA 26.66421 1120.88192 4.39536 231.464 68.45596 43.73846 230
"105" 331 42 9 "St. Eustatius" "Island" -62.976283 17.490842 23.436902 1 1 1 741.527 "SOUTHERN AMERICA" "Tropical & Subtropical Dry Broadleaf Forests" "dev" 2.6 462 NA 26.51081 1239.97297 1.06486 188.80203 NA 23.3 407
"106" 332 41 6 "St. John" "Island" -64.736758 18.338353 52.073416 1 1 1 845.214 "SOUTHERN AMERICA" "Deserts & Xeric Shrublands" "dev" 1.2 541 NA 26.58611 1235.61111 0.79622 79.79077 NA 34 309
"107" 333 31 5 "St. Kitts" "Island" -62.765059 17.339227 171.759944 1 1 1 713.225 "SOUTHERN AMERICA" "Mangroves" "dev" 2.6 401 NA 25.69333 1362.37619 1.55948 233.67128 65.47541 42.32432 891
"108" 334 60 9 "St. Lucia" "Island" -60.966774 13.898433 614.172141 1 1 1 341.907 "SOUTHERN AMERICA" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 28 943 NA 26.08027 2215.91946 2.56893 297.20425 52.38691 33.45667 709
